Sangangey,-104.733,21.451,0.06
Sangay,-78.341,-2.005,0.12
Sangeang_Api,119.069,-8.197,0.12
Santa_Ana,-89.628,13.855,0.06
Santa_Cruz,-90.327,-0.643,0.29
Santa_Isabel,8.761,3.588,0.33
Santa_Isabel,-75.365,4.818,0.07
Santa_Mara,-91.552,14.757,0.08
Santiago,-90.784,-0.212,0.16
Sao_Tome,6.541,0.269,0.3
Sara_Sara,-73.446,-15.33,0.05
Sarigan,145.78,16.699,0.02
Sarychev_Peak,153.2,48.09,0.06
Savai'i,-172.487,-13.619,0.42
Savo,159.816,-9.13,0.06
Schmidt,160.64,54.899,0.14
Segula,178.136,52.015,0.06
Semeru,112.923,-8.108,0.07
Semisopochnoi,179.601,51.985,0.15
Serua,130.017,-6.313,0.03
Sete_Cidades,-25.755,37.826,0.12
Seulawah_Agam,95.655,5.447,0.07
Shasta,-122.196,41.409,0.17
Shirinki,154.983,50.197,0.03
Shishaldin,-163.972,54.756,0.15
Shiveluch,161.363,56.653,0.17
Sibayak,98.5,3.247,0.04
Sibualbuali,99.255,1.556,0.1
Silali,36.174,1.169,0.14
Silay,123.233,10.77,0.12
Simbo,156.519,-8.304,0.03
Sinabung,98.39,3.171,0.05
Sinarka,154.18,48.872,0.09
Sirung,124.105,-8.52,0.08
Slamet,109.22,-7.239,0.12
Smirnov,146.132,44.425,0.09
Snowy_Mountain,-154.687,58.333,0.09
Soche,-77.582,0.551,0.06
Socompa,-68.246,-24.397,0.13
Socorro,-110.976,18.79,0.12
"Solo,_El",-68.714,-27.106,0.04
Soputan,124.736,1.111,0.04
Sorikmarapi,99.54,0.68,0.06
Sork_Ale,41.727,13.181,0.04
Sotar,-76.591,2.108,0.03
Soufrire_Guadeloupe,-61.665,16.045,0.07
Soufrire_Hills,-62.178,16.712,0.06
Soufrire_St._Vincent,-61.176,13.347,0.08
South_Island,36.596,2.624,0.06
South_Sister,-121.771,44.104,0.06
Sphan_Dagi,42.827,38.926,0.11
St._Andrew_Strait,147.369,-2.389,0.04
St._Catherine,-61.676,12.161,0.1
St._Helens,-122.196,46.191,0.07
St._Paul_Island,-170.409,57.184,0.1
Stromboli,15.211,38.788,0.03
Suchitn,-89.779,14.399,0.06
Sulu_Range,150.94,-5.497,0.06
Sumaco,-77.627,-0.541,0.15
Sumbing,101.729,-2.415,0.05
Sumbing,110.073,-7.386,0.1
Sundoro,109.995,-7.303,0.07
Suretamatai,167.468,-13.795,0.06
Suswa,36.348,-1.176,0.15
Suwanose-jima,129.713,29.638,0.05
Taapaca,-69.508,-18.113,0.1
Taburete,-88.532,13.435,0.03
Tacan,-92.109,15.132,0.11
Tacora,-69.773,-17.721,0.06
Tafahi,-173.748,-15.853,0.02
Taftan,61.132,28.6,0.09
Tahual,-89.906,14.436,0.04
"Tair,_Jebel_at",41.833,15.539,0.02
Tajumulco,-91.904,15.043,0.11
Takahara,139.776,36.899,0.13
Takawangha,-178.03,51.867,0.07
Takuan_Group,155.609,-6.443,0.08
Talakmau,99.983,0.079,0.14
Talang,100.681,-0.979,0.08
Tambo_Quemado,-68.749,-18.626,0.06
Tambora,117.958,-8.247,0.31
Tampomas,107.96,-6.765,0.08
Tana,-169.759,52.839,0.09
Tanaga,-178.144,51.883,0.08
Tandikat,100.32,-0.434,0.09
Tandikat_Singgalang,100.331,-0.391,0.09
Tandikat_Tandikat-Singgalang,100.331,-0.391,0.13
Tangkubanparahu,107.605,-6.754,0.07
Tao-Rusyr_Caldera_Krenitzyn_Peak,154.707,49.354,0.03
"Tara,_Batu",123.585,-7.792,0.03
Taranaki_Egmont,174.063,-39.297,0.09
Tata_Sabaya,-68.524,-19.136,0.06
Ta'u,-169.455,-14.233,0.07
Taunshits,159.804,54.527,0.08
Taveuni,179.988,-16.899,0.19
Tecapa,-88.502,13.494,0.12
Tecuamburro,-90.407,14.157,0.04
Telica,-86.845,12.605,0.06
Telomoyo,110.4,-7.362,0.09
"Telong,_Bur_ni",96.816,4.81,0.16
Tendrek_Dagi,43.873,39.355,0.15
Tenerife_Teide,-16.643,28.272,0.08
Tenorio,-85.013,10.668,0.12
Teon,129.143,-6.976,0.04
Terceira,-27.32,38.73,0.07
Tiatia,146.253,44.353,0.08
Tidore,127.402,0.662,0.07
Tigalalu,127.423,0.068,0.03
"Tigre,_El",-88.427,13.467,0.08
"Tigre,_Isla_el",-87.64,13.273,0.03
Tinakula,165.803,-10.386,0.03
Tipas,-68.561,-27.196,0.13
Tobaru,127.671,1.631,0.03
Tolbachik,160.326,55.831,0.15
Tolguaca,-71.649,-38.315,0.12
"Tolima,_Nevado_del",-75.33,4.658,0.08
Tolimn,-91.19,14.613,0.06
"Toluca,_Nevado_de",-99.768,19.101,0.16
Tongariro,175.632,-39.158,0.14
Tongkoko,125.184,1.518,0.05
Tori-shima,140.302,30.483,0.02
"Tortuga,_Isla",-111.882,27.438,0.03
To-shima,139.279,34.519,0.02
"Toussid,_Tarso",16.473,21.04,0.07
Traitor's_Head,169.241,-18.756,0.05
